temperature_feature,corr_with_ND,n_pairs
Temp_Eng_London,-0.3559905743803952,52608
Temp_Eng_South_Hampshire,-0.3567941308189768,52608
Temp_Eng_Yorkshire,-0.3573602512317697,52608
Temp_Scot_Glasgow_West,-0.3591559650173619,52608
Temp_Scot_Highlands,-0.3610744246843315,52608
Temp_Eng_East_Suffolk,-0.36174597402068837,52608
Temp_Wales_South_Cardiff,-0.36385039948034714,52608
Temp_Eng_East_Midlands,-0.36385856919875437,52608
Temp_Eng_West_Midlands,-0.3640746597522381,52608
Temp_Scot_Borders,-0.36437950490936744,52608
Temp_Eng_South_Bristol,-0.3646362445710594,52608
Temp_Eng_South_Kent,-0.36675588831178985,52608
Temp_Eng_North_Tyne,-0.36789388147655283,52608
Temp_Eng_South_Cornwall,-0.36835109291019735,52608
Temp_Eng_Manchester,-0.37005435550002064,52608
Temp_Eng_North_Cumbria,-0.37105371360562533,52608
Temp_Eng_East_Norfolk,-0.3742999652184974,52608
Temp_Wales_North_Gwynedd,-0.37514946355810647,52608
Temp_Scot_Edinburgh_East,-0.37953088547136743,52608
Temp_Scot_Aberdeenshire,-0.38117864962838166,52608
