temperature_feature,corr_with_TSD,n_pairs
Temp_Eng_Yorkshire,-0.3609016457913361,52608
Temp_Eng_London,-0.36215822839768685,52608
Temp_Eng_South_Hampshire,-0.3656591556241358,52608
Temp_Scot_Glasgow_West,-0.3659950442464656,52608
Temp_Scot_Highlands,-0.36680846211541024,52608
Temp_Eng_East_Suffolk,-0.36743543308311355,52608
Temp_Scot_Borders,-0.36852437102942687,52608
Temp_Eng_East_Midlands,-0.3686876661591705,52608
Temp_Eng_North_Tyne,-0.3687207798445608,52608
Temp_Eng_West_Midlands,-0.36977836782243945,52608
Temp_Wales_South_Cardiff,-0.37167574524835345,52608
Temp_Eng_South_Bristol,-0.3720003760658036,52608
Temp_Eng_South_Kent,-0.3734723550386052,52608
Temp_Eng_South_Cornwall,-0.37427893386714967,52608
Temp_Eng_Manchester,-0.3759849468481706,52608
Temp_Scot_Aberdeenshire,-0.3771919607354011,52608
Temp_Eng_North_Cumbria,-0.37740673944423764,52608
Temp_Eng_East_Norfolk,-0.3775029893585351,52608
Temp_Scot_Edinburgh_East,-0.3798826826226951,52608
Temp_Wales_North_Gwynedd,-0.3819796218920951,52608
